uid, name, address, discord_handle, option, weight, time
30981,Yumingze,0x103af2b33400a4f955744a7f70e749435444f808,Yumingyuan#6586,100%,1,2023-02-18 23:56:54
7027,Alex,0x42b81011a367d3c7f4e4b570fadd51209c93f287,alex🐋.eth#3436,100%,1,2023-02-19 01:04:44
26839,Bubble,0xfa860889ee6e3c715a5b76d998223df040b167da,Cheng#6436,80%,1,2023-02-19 01:57:28
27690,Hoodrh,0xa6097a4adf23553623a7917bbbb28c7bb2a7775c,Hoodrh#6562,100%,1,2023-02-19 03:37:54
30087,lizi,0xb8aee482305b7b219704350786fce47847cec996,栗子#8207,30%,1,2023-02-19 03:40:57
7654,dutypb.lookme,0x5ecc0ea06cc6ccdcf52aa0d1139c2813bb6ebef4,,80%,1,2023-02-19 06:54:50
30970,Jomosis,0x42b0765b70af2b6910f6281b3dc0c34a9cdbb65c,jomosis1997#0154,30%,1,2023-02-19 09:22:09
27187,Roy,0xece2bbab13b8b7aa5d1f1832ec9b1527f11224c0,PatrickPDX#8802,80%,1,2023-02-19 09:31:21
27395,Co1dRainNight,0x800819b08c66a1ecbea09e4b64c7e3412c104df5,ColdRainNight#6347,100%,1,2023-02-19 12:15:55
28351,sirs,0x9e89a144f7c05eb0d258b61a71d00bca79e42715,sirs#8914,30%,1,2023-02-19 13:44:31
12410,RickyWang,0x7ea1eaa27b313d04d359bf3e654fe927376e31bb,fatfingererr#0697,30%,1,2023-02-19 14:25:05
34133,wa1t0n,0x6bd68d667eccea663b2a2bee1311f7ad6c817602,wa1t0n#2571,80%,1,2023-02-19 14:28:25
26408,lee.W,0xe02533f1b8bc4befd8561df63721a96936f978f9,lee0428#9835,100%,1,2023-02-19 14:53:05
26620,CyberCaf,0xab206fb4b72009c5c7e78c2a91b0b8e63fb73e34,Coffee#7382,30%,1,2023-02-19 15:37:18
7313,tovarishch.eth,0x597f0fdbb96485cd258777248052ff0e4781fe4c,舟舟 tovarishch.eth#1910,100%,1,2023-02-19 16:10:10
30976,xiaoyao,0x60859ed309e5553b39bd66edf1a3c26473da3b6b,,30%,1,2023-02-19 17:07:52
27779,Thomas.dh,0x991b1ade06d49454fd7a2caeaf31f908e00d1c63,定慧 Thomas#3288,30%,1,2023-02-19 17:36:49
27782,Tanghan,0x01175ef4738b825cd12f4d1ff2d2904d52144531,,30%,1,2023-02-19 19:07:13
27191,owenzhang,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,Owen zhang#5158,100%,1,2023-02-20 01:04:10
27236,kyle37,0x043aee850680c4fb982761b585929834c26cc32c,kyle37#1237,100%,1,2023-02-20 01:20:09
7191,robin,0x27aa5a880b512beaf40d1b2e0f256b09f5711444,Victor.D.F#2920,30%,1,2023-02-20 01:23:58
31713,SuanNai,0xb8abe31a6caf1217d632190559b2c1fd909178ec,SuanNai#5420,100%,1,2023-02-20 02:11:52
27783,whychris.eth,0xaba775acf88723e05db5546bae58f10c20a9f061,,100%,1,2023-02-20 02:51:10
28387,Fivea,0xc92a88e2d17887646a40ddb0ddbbbe5c2a72512c,Fivea#9602,30%,1,2023-02-20 02:57:23
34518,saku,0x45b5e0299401f38d7d18bdde102ae62cdff86429,higasa sia#5627,30%,1,2023-02-20 08:23:49
28605,VincentZZH,0x608a9358354a93581e686ac7ffde9d5fadbcb7e0,VincentZZH#3925,80%,1,2023-02-20 09:55:51
28349,Queeny,0x7a6ff8906f68c0ceafdd61c2e5d39834cf0b39f1,Queeny#4247,30%,1,2023-02-20 13:39:48
27711,ravenc,0x38f5df039b0f0fac72523eb0dea196c0e6811d4a,ravenc#7174,80%,1,2023-02-20 14:45:23
26643,Manman,0x10b4bd1a211bdd057ea16a2e13c086f67b587b4b,Manman#6648,30%,1,2023-02-20 15:55:34
